Name,Rating,Advantage,Disadvantage,Reviews,Salary,Interview,Jobs,Industry,Employees,Ownership,Age,Location,Work Place
Merkle,3.5,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",99,1.1k,13,--,1k-5k Employees , Bangalore / Bengaluru +9 more,,,,
Morpheus Human Consulting,4.8,"Work Satisfaction, Company Culture, Skill Development / Learning",,94,74,9,--,Recruitment , 11-50 Employees , 19 years old , Mumbai +7 more,,
Copart,4.1,"Salary & Benefits, Work Life Balance, Job Security",,94,895,20,--,Automobile , 201-500 Employees , Forbes Global 2000 , 42 years old , Dellas +3 more,
Trellix,3.3,"Job Security, Promotions / Appraisal, Skill Development / Learning",,94,772,9,30,Hardware & Networking , 1k-5k Employees (Global) , 2 years old , Silicon Valley +1 more,,
Redington Group,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",93,899,6,--,IT Services & Consulting , 1k-5k Employees , Chennai +13 more,,,
iPlace,3.6,Salary & Benefits,Job Security,93,585,2,--,201-500 Employees , 18 years old , pune +2 more,,,
Pearson,4.1,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,93,749,6,--,Education & Training , 10k-50k Employees (Global) , Conglomerate , 180 years old , London +13 more,
Velocity Software Solutions,4.1,"Skill Development / Learning, Job Security, Salary & Benefits",,93,339,12,--,IT Services & Consulting , 11-50 Employees , 18 years old , Noida +6 more,,
SHL,3.5,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",,92,1.3k,10,--,Recruitment , 1k-5k Employees , 47 years old , Thames Ditton +10 more,,
Broadcast Engineering Consultants India,3.6,"Promotions / Appraisal, Job Security, Skill Development / Learning",,92,593,13,--,Government , 201-500 Employees , Central , New Delhi +15 more,,
CommVault,4.0,"Company Culture, Work Life Balance, Salary & Benefits",,91,1.1k,17,--,Software Product , 501-1k Employees , 28 years old , Middletown +5 more,,
Srijan Realty,3.7,"Work Life Balance, Work Satisfaction, Skill Development / Learning",,91,590,7,--,Real Estate , 501-1k Employees , 21 years old , Kolkata +1 more,,
RELX Group,3.7,Work Life Balance,"Promotions / Appraisal, Job Security",91,480,4,--,Analytics & KPO , 201-500 Employees , Forbes Global 2000 , 31 years old , London +6 more,
Rapid Care Transcription,4.2,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,91,417,2,19,Broadcasting , 51-200 Employees , 25 years old , Delano +4 more,,
Azuga Telematics,3.4,"Promotions / Appraisal, Skill Development / Learning, Work Life Balance",,90,879,9,--,Software Product , 51-200 Employees , 12 years old , San Jose +3 more,,
Iprogrammer Solutions,4.0,"Skill Development / Learning, Work Satisfaction, Salary & Benefits",,90,513,7,--,IT Services & Consulting , 51-200 Employees , 17 years old , Missoula +1 more,,
Norwin Technologies,4.1,"Work Life Balance, Skill Development / Learning",,90,768,11,--,IT Services & Consulting , 201-500 Employees , 24 years old , Danvers +4 more,,
Thriveni Sainik Mining,4.2,"Salary & Benefits, Skill Development / Learning, Work Life Balance",,90,492,7,--,Metals & Mining , 51-200 Employees , 9 years old , Hazaribagh +8 more,,
Computer Generated Solutions,3.2,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,89,821,4,--,IT Services & Consulting , 501-1k Employees , 40 years old , New York +4 more,,
Genus Innovation,4.0,"Job Security, Work Life Balance","Promotions / Appraisal, Work Satisfaction, Salary & Benefits",89,451,4,--,Power , 201-500 Employees , 26 years old , Jaipur +16 more,,
Simeio Solutions,3.3,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",,88,932,8,--,IT Services & Consulting , 201-500 Employees , 15 years old , Mumbai +5 more,,
Happay,3.5,"Job Security, Promotions / Appraisal, Skill Development / Learning",,88,718,3,--,Software Product , 201-500 Employees , Startup , 12 years old , Bangalore +4 more,
Six Red Marbles,3.5,"Job Security, Promotions / Appraisal, Salary & Benefits",,88,393,12,--,EdTech , 51-200 Employees , 28 years old , Medford +4 more,,
Simeio Solutions,3.3,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",,88,932,8,--,IT Services & Consulting , 201-500 Employees , 15 years old , Mumbai +5 more,,
Six Red Marbles,3.5,"Job Security, Promotions / Appraisal, Salary & Benefits",,88,393,12,--,EdTech , 51-200 Employees , 28 years old , Medford +4 more,,
Happay,3.5,"Job Security, Promotions / Appraisal, Skill Development / Learning",,88,718,3,--,Software Product , 201-500 Employees , Startup , 12 years old , Bangalore +4 more,
Nxtgen Datacenter Cloud Technologies,3.4,"Work Satisfaction, Promotions / Appraisal, Salary & Benefits",,88,675,7,--,IT Services & Consulting , 201-500 Employees , Startup , 12 years old , Bangalore +5 more,
DiGiSPICE,3.5,"Job Security, Promotions / Appraisal, Salary & Benefits",,88,938,2,--,Hardware & Networking , 501-1k Employees , Public , 24 years old , Noida +9 more,
Repos Energy,3.6,"Work Satisfaction, Job Security, Skill Development / Learning",,88,468,8,--,Power , 51-200 Employees , Startup , 7 years old , Pune +8 more,
Appiness Interactive,4.2,"Company Culture, Skill Development / Learning, Job Security",,87,510,5,--,IT Services & Consulting , 51-200 Employees , 13 years old , Bangalore/Bengaluru +2 more,,
Sun Pharma Advanced Research Company,4.1,"Work Life Balance, Salary & Benefits, Company Culture",Promotions / Appraisal,87,607,3,--,Pharma , 201-500 Employees , Public , 18 years old , Mumbai +9 more,
HM Constructions,3.8,"Promotions / Appraisal, Company Culture",,87,207,2,--,Engineering & Construction , 51-200 Employees , 33 years old , Bangalore/Bengaluru +6 more,,
Bioworld Merchandising,3.9,"Company Culture, Work Life Balance",,87,599,1,--,Retail , 201-500 Employees , 16 years old , Gurgaon/Gurugram +7 more,,
Vijay Raja Homes,4.2,"Work Satisfaction, Work Life Balance, Salary & Benefits",,87,452,4,--,Real Estate , 501-1k Employees , 75 years old , Chennai +1 more,,
Harness,4.2,"Skill Development / Learning, Company Culture, Salary & Benefits",,87,207,3,--,Software Product , 201-500 Employees , Startup , 8 years old , San Francisco +6 more,
XYXX Apparels,4.1,"Company Culture, Skill Development / Learning, Work Life Balance",,87,854,9,--,Fashion & Textile , 201-500 Employees , Startup , 8 years old , Surat +19 more,
Tech Firefly,3.2,"Job Security, Promotions / Appraisal, Skill Development / Learning",,87,433,4,9,IT Services & Consulting , 1k-5k Employees (Global) , 8 years old , Santa Clara +3 more,,
Roha Housing Finance,3.7,"Promotions / Appraisal, Job Security",,87,536,3,--,Financial Services , 51-200 Employees , Noida +24 more,,,
Bhutani Group,3.8,"Promotions / Appraisal, Work Satisfaction, Company Culture",,87,532,2,9,201-500 Employees , Noida +9 more,,,,
Zieta Technologies,2.8,"Salary & Benefits, Promotions / Appraisal, Company Culture",,86,613,3,--,IT Services & Consulting , 201-500 Employees , 23 years old , Atlanta +7 more,,
Ghaziabad Precision Products,3.6,"Company Culture, Work Satisfaction, Job Security",,86,466,3,--,Automobile , 501-1k Employees , 36 years old , Ghaziabad +7 more,,
Birla Sun Life Mutual Fund,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,86,343,2,--,Insurance , 1k-5k Employees , 30 years old , Mumbai +36 more,,
Komal Tex Fab,3.3,"Salary & Benefits, Job Security, Company Culture",,86,484,10,--,Fashion & Textile , 51-200 Employees , 43 years old , Ahmedabad +3 more,,
Vertex Homes,3.8,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Job Security",86,478,5,--,Real Estate , 201-500 Employees , 30 years old , Hyderabad/Secunderabad +2 more,,
Steelcase Asia Pacific Holdings India,3.9,Promotions / Appraisal,,86,659,3,--,Furniture & Furnishing , 201-500 Employees , 112 years old , Grand Rapids +9 more,,
Dhatsol IT Solutions,3.7,"Salary & Benefits, Job Security, Work Satisfaction",,86,303,--,--,51-200 Employees , Hyderabad / Secunderabad +1 more,,,,
Community Health Center,4.4,"Skill Development / Learning, Work Satisfaction, Work Life Balance",,86,335,3,--,Healthcare , 201-500 Employees (Global) , Akron +46 more,,,
SEEDWILL CONSULTING,4.0,"Company Culture, Job Security, Work Satisfaction",,86,228,1,--,Real Estate , 51-200 Employees , 6 years old , Gurgaon +6 more,,
Global Payments,4.4,"Work Life Balance, Job Security, Company Culture",,85,825,9,94,FinTech , 51-200 Employees , Forbes Global 2000 , 57 years old , Atlanta +8 more,
National Corporation for Tourism & Hotels,4.4,"Work Life Balance, Salary & Benefits, Company Culture",,85,197,3,--,Travel & Tourism , 1k-5k Employees , 28 years old , Abu Dhabi +9 more,,
Kimia Biosciences,3.2,"Promotions / Appraisal, Job Security, Company Culture",,85,538,6,--,Pharma , 51-200 Employees , 31 years old , Delhi/NCR +4 more,,
Vasant Masala,4.1,"Salary & Benefits, Skill Development / Learning, Work Life Balance",,85,336,3,--,Retail , 51-200 Employees , 54 years old , Ahmedabad +18 more,,
Skanray Technologies,3.5,"Promotions / Appraisal, Company Culture, Salary & Benefits",,85,546,2,--,Medical Equipment , 201-500 Employees , 17 years old , Mysore +15 more,,
Randox Laboratories India Private Limited,4.2,"Work Life Balance, Work Satisfaction, Skill Development / Learning",,85,266,6,--,Medical Equipment , 51-200 Employees , 42 years old , Crumlin +14 more,,
OCS Services,4.3,"Company Culture, Work Satisfaction, Work Life Balance",,85,527,4,--,Oil & Gas , 51-200 Employees , 40 years old , Dubai +15 more,,
Transaction Solution International India,4.0,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",85,597,4,--,IT Services & Consulting , 51-200 Employees , 19 years old , New Delhi +12 more,,
SE2 DIGITAL SERVICE LLP,3.5,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",,85,522,3,48,IT Services & Consulting , 51-200 Employees , 5 years old , Topeka +2 more,,
MDeverywhere India,3.5,Job Security,"Company Culture, Promotions / Appraisal, Salary & Benefits",84,426,4,--,IT Services & Consulting , 201-500 Employees , 29 years old , Noida +3 more,,
Any wear,4.2,"Job Security, Work Satisfaction, Company Culture",,84,731,17,--,Fashion & Textile , 1-10 Employees (Global) , Hyderabad / Secunderabad +28 more,,,
Rama group,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,84,646,5,7,Real Estate , 201-500 Employees (Global) , 34 years old , Pune +19 more,,
SCOPE T&M,3.4,"Salary & Benefits, Promotions / Appraisal, Company Culture",,84,526,8,--,Import & Export , 51-200 Employees , 36 years old , Pune +11 more,,
Kshema Power And Infrastructure Company,3.5,"Promotions / Appraisal, Company Culture, Job Security",,84,522,2,--,Power , 51-200 Employees , 26 years old , Kochi/Cochin +16 more,,
TopHawks,4.6,"Skill Development / Learning, Work Life Balance, Work Satisfaction",,84,83,4,--,Recruitment , 501-1k Employees , 9 years old , Noida +9 more,,
MNC AUTOMATION,4.4,"Job Security, Promotions / Appraisal, Company Culture",,83,404,30,--,Industrial Automation , 1-10 Employees , 28 years old , Noida +24 more,,
Lavie World,3.9,Salary & Benefits,Job Security,83,446,2,--,Retail , 201-500 Employees , 14 years old , Mumbai +18 more,,
MakroCare,3.6,"Salary & Benefits, Company Culture, Promotions / Appraisal",,83,535,2,--,Pharma , 201-500 Employees , 28 years old , Princeton,,
Nestor Pharmaceuticals,2.8,"Job Security, Promotions / Appraisal, Company Culture",,83,389,5,--,Pharma , 51-200 Employees , Public , 107 years old , New Delhi +11 more,
Gokaldas Images,3.9,"Skill Development / Learning, Work Life Balance, Company Culture",Promotions / Appraisal,83,316,5,--,Fashion & Textile , 201-500 Employees , 45 years old , Bengaluru +5 more,,
FANUC,3.8,"Job Security, Salary & Benefits",,83,697,17,--,Industrial Machinery , 501-1k Employees , Forbes Global 2000 , 68 years old , Oshino +12 more,
Amoda Group of Industries,4.0,"Company Culture, Salary & Benefits, Work Satisfaction",,83,186,5,--,Metals & Mining , 51-200 Employees , 20 years old , Hyderabad +6 more,,
Zenith Leisure Holidays,3.8,"Promotions / Appraisal, Salary & Benefits",,82,423,2,--,Travel & Tourism , 51-200 Employees , 27 years old , New Delhi +13 more,,
Cheminova,4.1,"Work Life Balance, Skill Development / Learning, Company Culture",,82,234,3,--,Agriculture , 1k-5k Employees , 86 years old , Lemwig +22 more,,
Asian Institute of Gastroenterology,4.4,"Job Security, Company Culture, Work Life Balance",,82,400,3,--,Healthcare , 501-1k Employees , 30 years old , Hyderabad/Secunderabad +1 more,,
ADNOC Distribution,4.0,Promotions / Appraisal,,82,244,5,--,Oil & Gas , 201-500 Employees , 51 years old , Dubai +10 more,,
Besmak Components,4.0,Skill Development / Learning,"Work Life Balance, Salary & Benefits, Promotions / Appraisal",81,545,3,--,Auto Components , 201-500 Employees , 30 years old , Kanchipuram +7 more,,
Openview Technologies,3.2,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",,81,632,6,--,IT Services & Consulting , 51-200 Employees , 28 years old , Pune +9 more,,
Medsource Ozone Biomedicals,3.5,"Salary & Benefits, Job Security, Promotions / Appraisal",,81,352,6,--,Pharma , 201-500 Employees , 21 years old , Faridabad +19 more,,
Kalburgi Cement,3.9,Job Security,Promotions / Appraisal,81,386,4,--,Building Material , 51-200 Employees , 16 years old , Hyderabad +10 more,,
Mando Softtech,4.3,"Job Security, Work Life Balance, Company Culture",,81,618,4,--,Auto Components , 501-1k Employees , 19 years old , Gurugram +2 more,,
MINI MUTHOOTTU NIDHI K,3.7,"Salary & Benefits, Promotions / Appraisal",,81,388,4,--,NBFC , 501-1k Employees , Public , 103 years old , Kochi/Cochin +34 more,
BML Munjal University,4.2,"Work Life Balance, Company Culture, Salary & Benefits",,81,345,3,--,Education & Training , 201-500 Employees , 10 years old , Delhi/NCR +5 more,,
Teemage Precast In,3.9,"Salary & Benefits, Promotions / Appraisal, Company Culture",,80,506,3,--,Engineering & Construction , 201-500 Employees , 13 years old , Tirupur +8 more,,
GMR DIAL,4.1,"Job Security, Work Life Balance, Company Culture","Salary & Benefits, Promotions / Appraisal",80,345,4,--,Engineering & Construction , 5k-10k Employees , 18 years old , New Delhi +1 more,,
Firepro Systems,3.7,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",,79,359,1,--,Law Enforcement & Security , 1k-5k Employees , 32 years old , Bangalore/Bengaluru +11 more,,
"East Wind Footwear Company Ltd.,",4.5,"Salary & Benefits, Job Security, Skill Development / Learning",,78,400,5,--,Fashion & Textile , 1k-5k Employees , Cheyyar +3 more,,,
Ejadah asset Management group,4.0,Job Security,"Promotions / Appraisal, Work Satisfaction, Company Culture",78,240,4,--,Real Estate , 1k-5k Employees , 19 years old , Dubai +7 more,,
Suncity Projects,3.9,Work Life Balance,"Promotions / Appraisal, Job Security, Company Culture",78,416,4,--,Real Estate , 201-500 Employees , 28 years old , Gurgaon/Gurugram +8 more,,
Luxottica India Eyewear,4.2,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,78,423,3,--,Fashion & Textile , 51-200 Employees , 63 years old , Milan +13 more,,
Knowlarity,4.1,"Salary & Benefits, Company Culture, Work Life Balance",,78,910,11,--,BPO , 201-500 Employees , 15 years old , Gurgaon +6 more,,
Encore Healthcare,4.2,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",76,318,1,--,Pharma , 51-200 Employees , 22 years old , Mumbai +9 more,,
Motherson Molds And Diecasting,3.7,"Salary & Benefits, Work Life Balance, Company Culture",,76,390,3,--,Auto Components , 51-200 Employees , 18 years old , Gurgaon +6 more,,
O2 Spa,3.9,Skill Development / Learning,"Promotions / Appraisal, Job Security",76,308,4,--,Beauty & Personal Care , 501-1k Employees , 17 years old , Hyderabad +15 more,,
Rotary Engineering,4.6,"Job Security, Work Satisfaction, Company Culture",,76,301,3,--,Oil & Gas , 5k-10k Employees (Global) , 52 years old , Singapore +9 more,,
Duncans Industries,4.2,"Work Life Balance, Work Satisfaction, Job Security",Promotions / Appraisal,75,230,2,--,Food Processing , 51-200 Employees , Public , 165 years old , Kolkata +28 more,
Adhunik Power,4.1,"Job Security, Work Life Balance, Skill Development / Learning",,75,405,5,--,Power , 51-200 Employees , 25 years old , Kolkata +5 more,,
Unity Infraprojects,3.7,"Work Life Balance, Skill Development / Learning, Promotions / Appraisal",,71,242,3,--,Engineering & Construction , 501-1k Employees , Public , 45 years old , Mumbai +14 more,
Boult Audio,4.2,"Company Culture, Skill Development / Learning, Work Satisfaction",,104,292,10,17,Consumer Electronics & Appliances , 51-200 Employees , 7 years old , Gurgaon/Gurugram +2 more,,
SOTI,3.3,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,96,1k,11,--,Software Product , 501-1k Employees , 29 years old , Mississauga +6 more,,
Sitics Logistic Solutions,3.2,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",,95,508,6,--,Financial Services , 5k-10k Employees (Global) , 17 years old , Palakkad +34 more,,
Turing,3.6,"Work Life Balance, Company Culture","Job Security, Promotions / Appraisal, Skill Development / Learning",95,624,26,13,Internet , 1k-5k Employees , Startup , 6 years old , Palo Alto +3 more,
Real Estate Group,4.1,"Skill Development / Learning, Work Satisfaction, Company Culture",,94,1.9k,10,--,Real Estate , 10k-50k Employees , Mumbai +37 more,,,
Exotel,2.9,"Job Security, Promotions / Appraisal, Company Culture",,93,857,8,35,Internet , 51-200 Employees , 13 years old , Bangalore +5 more,,
Sourcedesk Global,4.2,"Company Culture, Skill Development / Learning, Work Satisfaction",,93,152,2,14,IT Services & Consulting , 51-200 Employees , 14 years old , Toronto +2 more,,
Jss Pro Services,3.9,"Work Life Balance, Skill Development / Learning, Job Security",,91,450,12,--,Financial Services , 51-200 Employees , 42 years old , Hyderabad/Secunderabad +5 more,,
Easy Home Finance,4.2,"Salary & Benefits, Work Life Balance, Skill Development / Learning",,91,347,8,11,FinTech , 501-1k Employees , Public , 6 years old , Mumbai +22 more,
Stats Perform,3.8,"Promotions / Appraisal, Skill Development / Learning",,91,670,13,4,Sports & Recreation , 501-1k Employees , London +4 more,,,
JUNIPER GREEN ENERGY,4.2,"Job Security, Salary & Benefits, Promotions / Appraisal",,91,475,8,--,Power , 51-200 Employees , 6 years old , Delhi +13 more,,
PPMS Field Marketing,4.1,"Skill Development / Learning, Work Satisfaction","Promotions / Appraisal, Job Security, Salary & Benefits",91,350,4,--,501-1k Employees , Chennai +25 more,,,,
Logistics Service,4.4,"Skill Development / Learning, Work Satisfaction, Company Culture",,90,1.2k,7,--,Greater Noida +40 more,,,,,
MicroGenesis Techsoft,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,90,769,9,--,IT Services & Consulting , 51-200 Employees , 24 years old , Bengaluru +4 more,,
Chloride Metals,3.6,"Promotions / Appraisal, Salary & Benefits, Company Culture",,90,482,9,10,201-500 Employees , Haldia +6 more,,,,
BCForward,4.1,"Work Satisfaction, Company Culture, Salary & Benefits",,90,580,5,--,Internet , 201-500 Employees , 26 years old , Indianapolis +2 more,,
Believe Cosmetics,3.2,"Job Security, Promotions / Appraisal, Skill Development / Learning",,90,362,11,--,Bangalore / Bengaluru +18 more,,,,,
Cubic Transportation Systems,3.7,"Promotions / Appraisal, Company Culture, Skill Development / Learning",,89,703,8,20,IT Services & Consulting , 51-200 Employees , 30 years old , San Diego +1 more,,
Klm Axiva Finvest,4.2,"Promotions / Appraisal, Salary & Benefits",,89,555,7,8,Financial Services , 1k-5k Employees , 24 years old , Aluva +39 more,,
Futran Solutions,4.2,"Skill Development / Learning, Work Life Balance, Company Culture",,89,285,8,6,Software Product , 51-200 Employees , 14 years old , Edison +2 more,,
Q Tech Microelectronics India,3.7,"Job Security, Promotions / Appraisal, Company Culture",,89,442,5,--,10k-50k Employees , Greater Noida +3 more,,,,
Mythri Infra,3.6,"Job Security, Promotions / Appraisal, Company Culture",,88,457,3,--,Engineering & Construction , 51-200 Employees , 5 years old , Visakhapatnam +10 more,,
F5 Networks,4.1,"Work Life Balance, Company Culture, Salary & Benefits",,88,1.2k,17,40,IT Services & Consulting , 501-1k Employees , Public , 28 years old , Seattle +4 more,
Twin Health,3.3,"Job Security, Promotions / Appraisal, Work Life Balance",,88,457,6,25,Healthcare , 201-500 Employees , Startup , 6 years old , San Francisco +8 more,
Provab Technosoft,3.1,"Promotions / Appraisal, Job Security, Company Culture",,87,708,1,14,IT Services & Consulting , 201-500 Employees , 21 years old , Bangalore/Bengaluru +2 more,,
KLM Laboratories,3.9,Job Security,,87,462,3,--,Pharma , 51-200 Employees , Vadodara +19 more,,,
Doctors for you,4.0,"Work Life Balance, Skill Development / Learning, Company Culture","Promotions / Appraisal, Job Security",87,376,8,--,Non-Profit , 501-1k Employees , 17 years old , bombay +30 more,,
L&T Minerals & Metals,4.2,"Job Security, Skill Development / Learning, Company Culture",,87,77,--,--,Engineering & Construction , 1k-5k Employees , Kolkata +13 more,,,
Topre India,3.8,Job Security,,87,467,6,--,Auto Components , 11-50 Employees , Ahmedabad +5 more,,,
Hitachi Rail STS,4.1,"Work Life Balance, Skill Development / Learning",,87,337,1,--,Railways , 201-500 Employees , Noida +16 more,,,
Foxlink India Electric,3.9,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",,87,483,10,--,201-500 Employees , Tirupati +8 more,,,,
Dd Motors,4.0,"Skill Development / Learning, Work Life Balance",,86,559,2,--,Automobile , 1k-5k Employees (Global) , 28 years old , New Delhi +5 more,,
Bubugao Communication,4.3,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal,86,273,1,--,51-200 Employees , Jaipur +21 more,,,,
CENTRUM HOUSING FINANCE,3.6,Work Life Balance,,86,401,2,--,Financial Services , 51-200 Employees , Public , 8 years old , Mumbai +40 more,
Indian Red Cross Society,4.3,"Skill Development / Learning, Work Satisfaction, Work Life Balance",,86,291,3,--,Non-Profit , 201-500 Employees , 104 years old , New Delhi +47 more,,
The World Bank,4.5,"Work Life Balance, Company Culture, Work Satisfaction",,86,806,3,--,Banking , 1k-5k Employees , 80 years old , Washington +12 more,,
Commerce Pundit,3.6,"Promotions / Appraisal, Job Security",,86,565,6,--,IT Services & Consulting , 11-50 Employees , 15 years old , 2675 Breckinridge Blvd +7 more,,
Naiknavare Developers,3.6,"Promotions / Appraisal, Salary & Benefits, Company Culture",,86,496,6,--,Real Estate , 201-500 Employees , 38 years old , Pune +2 more,,
CORNITOS,4.0,,,86,382,9,--,FMCG , 201-500 Employees , 15 years old , Faridabad +18 more,,
Sapphire Infocom,4.9,"Company Culture, Work Satisfaction, Work Life Balance",,86,12,3,--,IT Services & Consulting , 11-50 Employees , 30 years old , Ahmedabad +2 more,,
BBD University,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,86,231,6,--,Financial Services , 10k-50k Employees (Global) , 14 years old , Lucknow +2 more,,
Omni Hospital,4.0,Work Life Balance,"Salary & Benefits, Promotions / Appraisal, Job Security",86,438,1,--,Healthcare , 501-1k Employees , 14 years old , Hyderabad +6 more,,
Accu Pack Engineering,3.6,Company Culture,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",86,451,2,9,Engineering & Construction , 11-50 Employees , 16 years old , Navi Mumbai +4 more,,
HPI Limited,4.1,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,86,1k,10,--,Internet , 1k-5k Employees , 42 years old , Brooklyn +10 more,,
Fairdebt Solutions,4.6,"Skill Development / Learning, Company Culture, Job Security",,86,75,2,--,BPO , 51-200 Employees , Bangalore / Bengaluru +3 more,,,
Hitachi Solutions,4.0,"Job Security, Work Life Balance, Salary & Benefits",,85,1k,3,--,IT Services & Consulting , 501-1k Employees , 11 years old , Chiyoda City +9 more,,
SJS Enterprises,3.8,Skill Development / Learning,Promotions / Appraisal,85,583,9,--,Auto Components , 201-500 Employees , 37 years old , Bengaluru +5 more,,
SJS Enterprises,3.8,Skill Development / Learning,Promotions / Appraisal,85,583,9,--,Auto Components , 201-500 Employees , 37 years old , Bengaluru +5 more,,
Apicore Pharmaceuticals,3.8,"Job Security, Company Culture, Work Life Balance",Salary & Benefits,85,552,4,--,Pharma , 51-200 Employees , 18 years old , Vadodara +4 more,,
K7 Computing,4.1,"Work Life Balance, Company Culture, Job Security",,85,563,3,--,IT Services & Consulting , 51-200 Employees , 33 years old , Chennai +18 more,,
Hitachi Solutions,4.0,"Job Security, Work Life Balance, Salary & Benefits",,85,1k,3,--,IT Services & Consulting , 501-1k Employees , 11 years old , Chiyoda City +9 more,,
Farnek Averial,4.0,"Skill Development / Learning, Job Security, Company Culture",,85,204,3,--,Facility Management Services , 5k-10k Employees (Global) , 44 years old , Dubai +5 more,,
SPS Hospitals,4.5,"Work Life Balance, Skill Development / Learning, Job Security",,85,252,4,--,Healthcare , 1k-5k Employees , 19 years old , Ludhiana +3 more,,
Mindtree Solutions,3.9,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,84,1.4k,14,--,IT Services & Consulting , 1-10 Employees , Delhi +6 more,,,
Kabra Extrusion Technik,3.9,Promotions / Appraisal,,84,595,10,--,Industrial Machinery , 501-1k Employees , Public , 62 years old , Mumbai +8 more,
Experian,3.7,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",,84,1.2k,12,168,IT Services & Consulting , 201-500 Employees , Forbes Global 2000 , 18 years old , Costa Mesa +4 more,
FLINTO LEARNING SOLUTIONS,2.8,"Job Security, Promotions / Appraisal, Work Satisfaction",,84,606,9,--,Education & Training , 51-200 Employees , 11 years old , Chennai +7 more,,
Abryl Laboratories Manufacturing Unit,3.7,Skill Development / Learning,,84,639,8,--,Pharma , 201-500 Employees , 8 years old ,  Dera Bassi +5 more,,
Century Real Estate,4.4,"Salary & Benefits, Job Security, Work Life Balance",,83,514,4,--,Real Estate , 201-500 Employees , 51 years old , Bangalore/Bengaluru +3 more,,
Kärcher Cleaning Systems,3.9,"Promotions / Appraisal, Job Security, Company Culture",,82,378,6,--,201-500 Employees , 89 years old , Winnenden +20 more,,,
Paramount,3.2,"Promotions / Appraisal, Salary & Benefits, Company Culture",,82,796,6,--,IT Services & Consulting , 501-1k Employees , Jalandhar +24 more,,,
Amalgamations Valeo Clutch,4.1,"Skill Development / Learning, Work Life Balance, Company Culture",,82,560,3,--,Auto Components , 501-1k Employees , 27 years old , Chennai +4 more,,
SembCorp,3.9,"Job Security, Salary & Benefits",Promotions / Appraisal,82,521,4,--,Power , 501-1k Employees , Public , 26 years old , Singapore +16 more,
Radio City 91.1 FM,4.0,"Work Life Balance, Job Security, Work Satisfaction",,82,429,2,--,Broadcasting , 501-1k Employees (Global) , 23 years old , Mumbai +26 more,,
Batliboi,4.2,"Work Life Balance, Job Security, Company Culture",,82,388,2,--,Industrial Machinery , 501-1k Employees , Public , 132 years old , Mumbai +13 more,
Vardhman Acrylics,3.5,"Skill Development / Learning, Job Security, Work Life Balance",Salary & Benefits,82,505,5,--,Fashion & Textile , 1k-5k Employees , Public , 34 years old , Bharuch +8 more,
Jal International,4.0,"Work Life Balance, Salary & Benefits, Job Security",,81,231,7,--,Oil & Gas , 201-500 Employees , 39 years old , Dammam +10 more,,
Superon Schweisstechnik India,4.1,"Salary & Benefits, Job Security, Work Life Balance",Promotions / Appraisal,81,368,1,--,Electronics Manufacturing , 51-200 Employees , Public , 30 years old , Gurgaon +8 more,
Nissin Abc Logistics,4.2,"Job Security, Work Life Balance, Work Satisfaction",,81,407,2,--,Logistics , 51-200 Employees , 25 years old , Gurugram +14 more,,
SHM Shipcare Private Limited,4.4,"Skill Development / Learning, Job Security, Company Culture",,81,256,3,--,Ports & Shipping , 201-500 Employees , 23 years old , Mumbai +10 more,,
Storia Foods,3.4,"Job Security, Work Satisfaction, Promotions / Appraisal",,81,438,7,--,Beverage , 201-500 Employees , 8 years old , Mumbai +25 more,,
Usha Armour,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,81,377,2,--,Law Enforcement & Security , 201-500 Employees , 33 years old , Bengaluru +4 more,,
