Name,Rating,Advantage,Disadvantage,Reviews,Salary,Interview,Jobs,Industry,Employees,Ownership,Age,Location,Work Place
Zydus Lifesciences,4.2,"Skill Development / Learning, Job Security, Salary & Benefits",,5.4k,18.2k,263,--,Pharma , 10k-50k Employees , Public , 72 years old , Ahmedabad +156 more,
Delhivery,4.0,Skill Development / Learning,Promotions / Appraisal,5.3k,17.7k,367,--,Logistics , 10k-50k Employees , Fortune India 500 , 13 years old , Delhi +634 more,
Amazon Development Centre India,4.2,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,5.5k,29.7k,542,13,Internet , 10k-50k Employees , Hyderabad / Secunderabad +86 more,,,
L&T Construction,4.1,"Job Security, Skill Development / Learning, Salary & Benefits",Work Life Balance,5.2k,19k,584,--,Engineering & Construction , 5k-10k Employees , Public , 80 years old , Chennai +363 more,
JPMorgan Chase & Co.,4.1,"Job Security, Company Culture, Skill Development / Learning",,5.2k,73.2k,576,196,Financial Services , 50k-1 Lakh Employees , Public , 56 years old , New York +33 more,
Sun Pharmaceutical Industries,4.1,"Job Security, Salary & Benefits, Skill Development / Learning",,5k,21k,316,128,Pharma , 10k-50k Employees , Public , 41 years old , Mumbai +209 more,
Hindustan Unilever,4.3,"Skill Development / Learning, Job Security, Company Culture",,4.9k,20.8k,307,--,FMCG , 10k-50k Employees , Public , 152 years old , London +443 more,
FIS,3.9,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,5k,39.4k,396,56,FinTech , 10k-50k Employees , 56 years old , Jacksonville +43 more,,
ITC,4.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,5k,23k,471,--,FMCG , 10k-50k Employees , Public , 114 years old , Kolkata +306 more,
Udaan,4.0,"Salary & Benefits, Skill Development / Learning","Job Security, Promotions / Appraisal",4.8k,19.2k,315,--,1k-5k Employees , Indian Unicorn , 8 years old , Bangalore +340 more,,
Hexaware Technologies,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,5k,46.3k,561,805,IT Services & Consulting , 10k-50k Employees , Fortune India 500 , 34 years old , Navi Mumbai +47 more,
IIFL Finance,4.0,"Skill Development / Learning, Salary & Benefits, Work Life Balance",,4.8k,15.4k,223,--,NBFC , 10k-50k Employees , Public , 29 years old , Mumbai +684 more,
JSW Steel,4.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,4.9k,25.6k,480,--,Iron & Steel , 10k-50k Employees , Public , 42 years old , Mumbai +150 more,
Ujjivan Small Finance Bank,4.1,"Company Culture, Job Security, Work Life Balance",,4.6k,11.9k,183,17,Banking , 10k-50k Employees , Public , 7 years old , Bangalore/Bengaluru +449 more,
Muthoot Finance,3.6,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",,4.4k,11.9k,219,209,NBFC , 10k-50k Employees , Public , 85 years old , Kochi/Cochin +650 more,
Max Life Insurance,4.2,"Skill Development / Learning, Company Culture, Job Security",,4.6k,17.3k,251,614,Insurance , 10k-50k Employees , 24 years old , Gurgaon/Gurugram +404 more,,
Tata Projects,4.3,"Job Security, Company Culture, Salary & Benefits",,4.4k,19.4k,338,22,Engineering & Construction , 5k-10k Employees , Public , 45 years old , Mumbai +239 more,
Aurobindo Pharma,4.0,"Job Security, Salary & Benefits",,4.3k,21.6k,205,--,Pharma , 10k-50k Employees , Public , 38 years old , Hyderabad/Secunderabad +95 more,
KPMG India,3.6,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",,4.6k,65.1k,643,--,Management Consulting , 10k-50k Employees , 37 years old , Bangalore / Bengaluru +77 more,,
Shapoorji Pallonji Group,4.2,"Job Security, Company Culture, Skill Development / Learning",,4.3k,15k,294,--,Engineering & Construction , 5k-10k Employees , Conglomerate , 159 years old , Mumbai +168 more,
Oracle,3.8,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",4.5k,57.8k,700,--,Software Product , 50k-1 Lakh Employees , Public , 47 years old , Austin +49 more,
Home Credit Finance,4.1,"Company Culture, Skill Development / Learning, Work Life Balance",,4.1k,10.8k,104,81,Financial Services , 10k-50k Employees , 12 years old , Gurugram +116 more,,
eClerx,3.5,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,4.4k,27.8k,408,--,IT Services & Consulting , 10k-50k Employees , Public , 24 years old , Mumbai +19 more,
Apollo Hospitals,4.1,"Job Security, Skill Development / Learning, Company Culture",,4.1k,15.3k,277,44,Healthcare , 10k-50k Employees , Public , 41 years old , Chennai +189 more,
